Client Name,Client ID,Total Records,GBP Calls,GBP Calls Max,Ads Conversions,Ads Conv Max,Ads Impressions,Ads Clicks,Has GBP Data,Has Ads Data,Date Range Start,Date Range End,Data Quality
CorePosture,1,40,69,2,48,2,2847,245,Yes,Yes,2025-01-01,2025-02-09,Complete
Dr DiGrado,2,40,137,4,19,1,2106,139,Yes,Yes,2025-01-01,2025-02-09,Complete
Restoration Dental,3,40,32,1,45,2,2816,158,Yes,Yes,2025-01-01,2025-02-09,Complete
TINKER FAMILY CHIRO,4,40,0,0,17,1,1354,98,No,Yes,2025-01-01,2025-02-09,Partial
NEWPORT CENTER FAMILY CHIROPRACTIC,5,40,39,2,0,0,0,0,Yes,No,2025-01-01,2025-02-09,Partial
WHOLE BODY WELLNESS,6,40,0,0,266,10,23408,1567,No,Yes,2025-01-01,2025-02-09,Partial
TAILS ANIMAL CHIROPRACTIC CARE,7,40,0,0,25,1,2048,142,No,Yes,2025-01-01,2025-02-09,Partial
CHIROPRACTIC CARE CENTRE,8,40,0,0,60,2,4921,315,No,Yes,2025-01-01,2025-02-09,Partial
SOUTHPORT CHIROPRACTIC,9,40,0,0,55,2,4527,289,No,Yes,2025-01-01,2025-02-09,Partial
CHIROPRACTIC FIRST,10,40,113,4,0,0,0,0,Yes,No,2025-01-01,2025-02-09,Partial
AXIS CHIROPRACTIC,11,40,52,2,0,0,0,0,Yes,No,2025-01-01,2025-02-09,Partial
HOOD CHIROPRACTIC,12,40,137,4,0,0,0,0,Yes,No,2025-01-01,2025-02-09,Partial
DeCarlo Chiropractic,13,40,164,5,0,0,0,0,Yes,No,2025-01-01,2025-02-09,Partial
CHIROSOLUTIONS CENTER,14,40,25,1,0,0,0,0,Yes,No,2025-01-01,2025-02-09,Partial
THE CHIROPRACTIC SOURCE,15,40,0,0,0,0,0,0,No,No,2025-01-01,2025-02-09,No Data
CHIROPRACTIC HEALTH CLUB,16,40,0,0,0,0,0,0,No,No,2025-01-01,2025-02-09,No Data
Zen Care Physical Medicine,17,40,0,0,0,0,0,0,No,No,2025-01-01,2025-02-09,No Data
HAVEN CHIROPRACTIC,18,40,0,0,0,0,0,0,No,No,2025-01-01,2025-02-09,No Data
REGENERATE CHIROPRACTIC,19,40,0,0,0,0,0,0,No,No,2025-01-01,2025-02-09,No Data
HEALING HANDS OF MANAHAWKIN,20,40,0,0,0,0,0,0,No,No,2025-01-01,2025-02-09,No Data
FUNCTIONAL SPINE CHIROPRACTIC,21,40,0,0,0,0,0,0,No,No,2025-01-01,2025-02-09,No Data
SAIGON DISTRICT RESTAURANT,22,40,0,0,0,0,0,0,No,No,2025-01-01,2025-02-09,No Data
North Alabama Spine & Rehab,23,40,0,0,0,0,0,0,No,No,2025-01-01,2025-02-09,No Data
CINQUE CHIROPRACTIC,24,40,0,0,0,0,0,0,No,No,2025-01-01,2025-02-09,No Data
RAY CHIROPRACTIC,25,40,0,0,0,0,0,0,No,No,2025-01-01,2025-02-09,No Data